Year,Total_Cybercrimes,Financial_Fraud,Identity_Theft,Cyberbullying,Hacking,Data_Breaches,Economic_Cybercrimes,Online_Scams,Phishing_Attacks,Ransomware_Attacks,Malware_Infections,Social_Media_Fraud,Dark_Web_Activity,Cybersecurity_Breaches,Cases_Charge_Sheeted,Persons_Arrested
2001,15332,7716.0,2061.0,1975.0,3260.0,663.0,6592.0,793.0,603.0,380.0,2698.0,821.0,196.0,1333.0,633.0,1431.0
2002,10182,7506.0,2977.0,2230.0,963.0,1226.0,5849.0,1346.0,722.0,262.0,734.0,667.0,121.0,1984.0,638.0,1799.0
2003,40172,9062.0,2886.0,2312.0,1707.0,3870.0,4210.0,538.0,449.0,444.0,916.0,403.0,402.0,940.0,895.0,960.0
2006,25009,9287.0,2127.0,1320.0,4218.0,2243.0,3802.0,704.0,927.0,126.0,2737.0,681.0,448.0,1870.0,816.0,2056.0
2007,43902,3606.0,5249.0,2058.0,1641.0,729.0,8214.0,891.0,266.0,207.0,1103.0,610.0,495.0,1824.0,572.0,2811.0
2011,43035,4108.0,7695.0,2617.0,304.0,622.0,3948.0,1589.0,965.0,440.0,1285.0,411.0,213.0,1244.0,213.0,1190.0
2013,45145,4901.0,4503.0,2022.0,2670.0,1357.0,9383.0,534.0,777.0,328.0,1665.0,593.0,132.0,513.0,879.0,1009.0
2014,34503,8077.0,2025.0,1575.0,964.0,3040.0,7741.0,998.0,794.0,134.0,2242.0,675.0,419.0,1464.0,413.0,1601.0
2015,23787,6254.0,1503.0,640.0,248.0,3779.0,2166.0,936.0,573.0,338.0,1423.0,975.0,457.0,781.0,837.0,2238.0
2016,15701,4787.0,4256.0,2663.0,4969.0,3471.0,8573.0,1143.0,688.0,307.0,683.0,439.0,359.0,1234.0,521.0,1469.0
2017,23900,9241.0,7937.0,2816.0,455.0,1138.0,4014.0,1632.0,581.0,296.0,601.0,310.0,308.0,1810.0,759.0,1303.0
2019,28078,5578.0,3957.0,2869.0,608.0,3774.0,3441.0,1338.0,911.0,299.0,937.0,653.0,277.0,1730.0,766.0,938.0
2020,31103,3484.0,7518.0,778.0,236.0,1551.0,1836.0,1812.0,810.0,194.0,2278.0,528.0,219.0,1604.0,256.0,1460.0
2021,11667,7914.0,6015.0,962.0,769.0,2280.0,8715.0,1658.0,357.0,319.0,2480.0,565.0,219.0,1915.0,404.0,2647.0
2022,41603,8581.0,6744.0,733.0,673.0,2867.0,8607.0,1734.0,892.0,132.0,544.0,670.0,199.0,1796.0,805.0,2998.0
2023,48027,6486.0,2787.0,2524.0,4705.0,981.0,7758.0,844.0,814.0,194.0,2742.0,979.0,316.0,1503.0,865.0,823.0
2016,15701,4787.0,4256.0,2663.0,4969.0,3471.0,8573.0,1143.0,688.0,307.0,683.0,439.0,359.0,1234.0,521.0,1469.0
2021,11667,7914.0,6015.0,962.0,769.0,2280.0,8715.0,1658.0,357.0,319.0,2480.0,565.0,219.0,1915.0,404.0,2647.0
2003,40172,9062.0,2886.0,2312.0,1707.0,3870.0,4210.0,538.0,449.0,444.0,916.0,403.0,402.0,940.0,895.0,960.0
2017,23900,9241.0,7937.0,2816.0,455.0,1138.0,4014.0,1632.0,581.0,296.0,601.0,310.0,308.0,1810.0,759.0,1303.0
